Machine_ID,Timestamp,Failure,Time_Since_Last_Failure,Breakdowns_Last_30_Days,Breakdowns_Last_90_Days,Breakdowns_Last_180_Days,Breakdown_Ratio_30_90,Breakdown_Ratio_30_180,Avg_Days_Between_Failures,Failure_Density,Is_Recent_Failure
1,2020-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,1
1,2020-01-02,0,1,0,0,0,0.0,0.0,1.0,0.0,1
1,2020-01-03,0,2,0,0,0,0.0,0.0,2.0,0.0,1
1,2020-01-04,0,3,0,0,0,0.0,0.0,3.0,0.0,1
1,2020-01-05,0,4,0,0,0,0.0,0.0,4.0,0.0,1
1,2020-01-06,0,5,0,0,0,0.0,0.0,5.0,0.0,1
1,2020-01-07,0,6,0,0,0,0.0,0.0,6.0,0.0,1
1,2020-01-08,0,7,0,0,0,0.0,0.0,7.0,0.0,1
1,2020-01-09,0,8,0,0,0,0.0,0.0,8.0,0.0,1
1,2020-01-10,1,9,0,0,0,0.0,0.0,9.0,0.0,1
1,2020-01-11,0,10,0,0,0,0.0,0.0,10.0,0.0,1
1,2020-01-12,0,11,0,0,0,0.0,0.0,11.0,0.0,1
1,2020-01-13,0,12,0,0,0,0.0,0.0,12.0,0.0,1
1,2020-01-14,0,13,0,0,0,0.0,0.0,13.0,0.0,1
1,2020-01-15,0,14,0,0,0,0.0,0.0,14.0,0.0,1
1,2020-01-16,0,15,0,0,0,0.0,0.0,15.0,0.0,1
1,2020-01-17,0,16,0,0,0,0.0,0.0,16.0,0.0,1
1,2020-01-18,1,17,0,0,0,0.0,0.0,17.0,0.0,1
1,2020-01-19,0,18,0,0,0,0.0,0.0,18.0,0.0,1
1,2020-01-20,0,19,0,0,0,0.0,0.0,19.0,0.0,1
1,2020-01-21,0,20,0,0,0,0.0,0.0,20.0,0.0,1
1,2020-01-22,0,21,0,0,0,0.0,0.0,21.0,0.0,1
1,2020-01-23,0,22,0,0,0,0.0,0.0,22.0,0.0,1
1,2020-01-24,0,23,0,0,0,0.0,0.0,23.0,0.0,1
1,2020-01-25,0,24,0,0,0,0.0,0.0,24.0,0.0,1
1,2020-01-26,0,25,0,0,0,0.0,0.0,25.0,0.0,1
1,2020-01-27,1,26,0,0,0,0.0,0.0,26.0,0.0,1
1,2020-01-28,0,27,0,0,0,0.0,0.0,27.0,0.0,1
1,2020-01-29,0,28,0,0,0,0.0,0.0,28.0,0.0,1
1,2020-01-30,0,29,0,0,0,0.0,0.0,29.0,0.0,1
1,2020-01-31,0,30,0,0,0,0.0,0.0,30.0,0.0,0
1,2020-02-01,0,31,0,0,0,0.0,0.0,31.0,0.0,0
1,2020-02-02,0,32,0,0,0,0.0,0.0,32.0,0.0,0
1,2020-02-03,0,33,0,0,0,0.0,0.0,33.0,0.0,0
1,2020-02-04,0,34,0,0,0,0.0,0.0,34.0,0.0,0
1,2020-02-05,0,35,0,0,0,0.0,0.0,35.0,0.0,0
1,2020-02-06,1,36,0,0,0,0.0,0.0,36.0,0.0,0
1,2020-02-07,0,37,0,0,0,0.0,0.0,37.0,0.0,0
1,2020-02-08,0,38,0,0,0,0.0,0.0,38.0,0.0,0
1,2020-02-09,0,39,0,0,0,0.0,0.0,39.0,0.0,0
1,2020-02-10,0,40,0,0,0,0.0,0.0,40.0,0.0,0
1,2020-02-11,0,41,0,0,0,0.0,0.0,41.0,0.0,0
1,2020-02-12,1,42,0,0,0,0.0,0.0,42.0,0.0,0
1,2020-02-13,0,43,0,0,0,0.0,0.0,43.0,0.0,0
1,2020-02-14,0,44,0,0,0,0.0,0.0,44.0,0.0,0
1,2020-02-15,0,45,0,0,0,0.0,0.0,45.0,0.0,0
1,2020-02-16,0,46,0,0,0,0.0,0.0,46.0,0.0,0
1,2020-02-17,0,47,0,0,0,0.0,0.0,47.0,0.0,0
1,2020-02-18,0,48,0,0,0,0.0,0.0,48.0,0.0,0
1,2020-02-19,0,49,0,0,0,0.0,0.0,49.0,0.0,0
1,2020-02-20,0,50,0,0,0,0.0,0.0,50.0,0.0,0
1,2020-02-21,0,51,0,0,0,0.0,0.0,51.0,0.0,0
1,2020-02-22,1,52,0,0,0,0.0,0.0,52.0,0.0,0
1,2020-02-23,0,53,0,0,0,0.0,0.0,53.0,0.0,0
1,2020-02-24,0,54,0,0,0,0.0,0.0,54.0,0.0,0
